id,country,name,river,main_basin,dam_lat,dam_lon,dam_height,water_level,power_capacity ,turbine_efficiency,plant_depth
1,Myanmar,Baluchaung 1,Baluchaung,Thanlwin,19.64899828,97.28234606,11,,28,,
7,Myanmar,Baluchaung (upper),Baluchaung,Thanlwin,20.484592,96.781918,35,,30,,
14,Myanmar,Belin,Bilin River,Bilin,17.52148746,97.24094873,131,,280,,
12,Myanmar,GawLan,Naw Chang  Hka,Ayeyarwady,26.051936,98.580461,47,,120,,
15,Myanmar,Pisa,N'Mai  Hka,Ayeyarwady,26.598389,98.34309,153,,2000,,
2,Myanmar,Kabaung,Kabaung Chaung,Sittaung,18.89493852,96.22190324,61,,30,,
3,Myanmar,Keng Tawng,Nam Teng,Thanlwin,20.59709905,98.29335353,27,,54,,
8,Myanmar,Keng Tawng (upper),Nam Teng,Thanlwin,20.74686759,98.17570237,56,,51,,
16,Myanmar,Khaunglanphu,N'Mai  Hka,Ayeyarwady,26.84950629,98.3768079,223,,2700,,
20,Myanmar,Mong Ton,Thanlwin Mainstem,Thanlwin,20.45636668,98.64998091,241,,7000,,
4,Myanmar,Mongwa, Nam Lwe ,Mekong,21.39954406,100.3287007,51,,66,,
13,Myanmar,Myitsone,Ayeyarwady,Ayeyarwady,25.71655153,97.52903887,140,,6000,,
17,Myanmar,Renan,N'Mai  Hka,Ayeyarwady,27.52594039,98.09019226,159,,1200,,
5,Myanmar,Shweli 1,Shweli,Ayeyarwady,23.68653303,97.50328859,47,,600,,
18,Myanmar,Shweli 2,Shweli,Ayeyarwady,23.65310713,97.31235141,92,,520,,
9,Myanmar,Shweli 3,Shweli,Ayeyarwady,23.31435911,96.77047704,122,,1050,,
21,Myanmar,Suo Lwe, Nam Lwe ,Mekong,21.359543,100.176054,,,240,,
10,Myanmar,Thahtay,Thahtay,Rakhine,18.64000002,94.38100001,91,,111,,
6,Myanmar,Yeywa,Lower Myitnge,Ayeyarwady,21.67359104,96.47383095,132,,790,,
19,Myanmar,Ywathit,Thanlwin Mainstem,Thanlwin,19.13107878,97.5212561,167,,4000,,
11,Myanmar,Sar Ra Wa Chaung,Unknown,Tanintharyi,12.82940605,98.98166996,,,11,,